#DH(SLy4)+HP EOS for the outer crust, NL3omegarho EOS for the inner crust and core                                            
#    nb/nb0        nb(fm^-3)     eng(MeV/fm^3)  Prs(MeV/fm^3)   eng(g/cm^3)  Pres(dyn/cm^2)    muB(MeV)    mue(MeV)    h=ln(mub/mN)
   0.134527E-06   0.199100E-07   0.185281E-04   0.239234E-08   0.330300E+08   0.383300E+25   0.930712E+03   0.000000E+00  -0.886604E-02
   0.268446E-06   0.397300E-07   0.369776E-04   0.627887E-08   0.659200E+08   0.100600E+26   0.930881E+03   0.000000E+00  -0.868417E-02
   0.535541E-06   0.792600E-07   0.737645E-04   0.162527E-07   0.131500E+09   0.260400E+26   0.930870E+03   0.000000E+00  -0.869570E-02
   0.106824E-05   0.158100E-06   0.147249E-03   0.416677E-07   0.262500E+09   0.667600E+26   0.931627E+03   0.000000E+00  -0.788300E-02
   0.134527E-05   0.199100E-06   0.185393E-03   0.545375E-07   0.330500E+09   0.873800E+26   0.931429E+03   0.000000E+00  -0.809569E-02
   0.213243E-05   0.315600E-06   0.293880E-03   0.101673E-06   0.523900E+09   0.162900E+27   0.931501E+03   0.000000E+00  -0.801812E-02
   0.337905E-05   0.500100E-06   0.465754E-03   0.189053E-06   0.830300E+09   0.302900E+27   0.931700E+03   0.000000E+00  -0.780444E-02
   0.425405E-05   0.629600E-06   0.586750E-03   0.257708E-06   0.104600E+10   0.412900E+27   0.932351E+03   0.000000E+00  -0.710621E-02
   0.493176E-05   0.729900E-06   0.679868E-03   0.314318E-06   0.121200E+10   0.503600E+27   0.931884E+03   0.000000E+00  -0.760743E-02
   0.653176E-05   0.966700E-06   0.900881E-03   0.428161E-06   0.160600E+10   0.686000E+27   0.932356E+03   0.000000E+00  -0.710043E-02
   0.103514E-04   0.153200E-05   0.142761E-02   0.793908E-06   0.254500E+10   0.127200E+28   0.932378E+03   0.000000E+00  -0.707673E-02
   0.169392E-04   0.250700E-05   0.233690E-02   0.147048E-05   0.416600E+10   0.235600E+28   0.932738E+03   0.000000E+00  -0.669070E-02
   0.268514E-04   0.397400E-05   0.370562E-02   0.272251E-05   0.660600E+10   0.436200E+28   0.933150E+03   0.000000E+00  -0.624966E-02
   0.326351E-04   0.483000E-05   0.450496E-02   0.353389E-05   0.803100E+10   0.566200E+28   0.933436E+03   0.000000E+00  -0.594255E-02
